qid,vid_name,q,a0,a1,a2,a3,answer_idx,chunk_ids,oracle_idx
LD1RAPiT_7A_q4_7,LD1RAPiT_7A,Why do the people at the gym look at the woman?,The men are staring at her because she is wearing revealing clothing.,She doesn't look string enough to lift weights.,They are admiring her outfit.,She is emphasizing her workout routine.,1,"[0, 1, 2, 3, 4]",1
LD1RAPiT_7A_q2_3,LD1RAPiT_7A,Why is the man in the grey shirt holding the bar that the woman is holding?,The man in the grey shirt is trying to impress the woman by showing off his strength.,He is holding the bar for her so she can lift it safely.,He is spotting her so she doesn't get injured.,He is trying to help her.,2,"[0, 1, 2, 3, 4]",1
LmCJIBsQjOY_q2_0,LmCJIBsQjOY,How comfortable do the two seem around one another?,"The woman has worked hard to get where she is, but the man seems uncomfortable around her.",The two actors are friendly and willing to talk to one another.,The two individuals seem to be avoiding each other.,The two actors are very comfortable as they are willing to communicate freely and joke,3,"[0, 1, 2, 3, 4, 5]",2
LmCJIBsQjOY_q4_3,LmCJIBsQjOY,Why does the audience cheer?,The audience strongly agrees with the man's message.,The audience cheers at the woman's confidence,They are happy with the man.,The audience cheers because they like the man's tie.,1,"[0, 1, 2, 3, 4, 5]",2
LmCJIBsQjOY_q1_6,LmCJIBsQjOY,Why does the audience laugh?,The audience laughs because the man says he does not like to go to Washington,They are amused by the woman.,The audience laughs because the man trips and falls.,The audience laughs because the man makes a silly comment.,0,"[0, 1, 2, 3, 4, 5]",2
LmCJIBsQjOY_q3_10,LmCJIBsQjOY,Why does the woman shake her head?,The woman shakes her head because she disagrees with the man's opinion.,The woman shakes her head because she is frustrated with the man's argument.,The woman shakes her head because she has mixed feelings about the place,The woman shakes her head because she does not want more water.,2,"[0, 1, 2, 3, 4, 5]",2
LoMhBo8ATBM_q9_1,LoMhBo8ATBM,Did the man appear to be sympathetic?,The man was busy texting on his phone.,The man is indifferent to what she is saying.,Yes. He was sympathetic to the lady's responses.,"No, he cares about what she says.",2,"[0, 1, 2, 3, 4]",2
LoMhBo8ATBM_q6_0,LoMhBo8ATBM,Does the man seem interested in the woman's opinions?,He falls asleep during the conversation.,"No, he's not prompting her to answer any questions.","Yes, because he's asking a lot of questions.",He constantly interrupts her to ask questions.,2,"[0, 1, 2, 3, 4]",2
LoMhBo8ATBM_q3_4,LoMhBo8ATBM,How does Hillary communicate her message?,Hillary's calm demeanor helps her emphasize her point.,She speaks in a monotone voice to emphasize her point.,She emphasizes certain words to make her claim stronger.,She explains her argument.,2,"[0, 1, 2, 3, 4]",2
LoMhBo8ATBM_q1_5,LoMhBo8ATBM,How does the audience show they agree with Hillary?,They nod their heads in agreement with Hillary.,They applaud her when she presents a stance on the topic.,The audience is nodding their heads in agreement with Hillary.,They present a supporting claim.,1,"[0, 1, 2, 3, 4]",2
LoMhBo8ATBM_q8_8,LoMhBo8ATBM,How does the host show he agrees with Hillary?,He smiles and looks at her in the eyes to show agreement.,He gives her the thumbs up.,He nods his head in disagreement.,He gives his undivided attention while she speaks.,3,"[0, 1, 2, 3, 4]",2
LoMhBo8ATBM_q4_1,LoMhBo8ATBM,How was the atmosphere like at the venue?,The crowd appeared to be cheerful and positive of the discussion.,The audience was restless and uninterested.,The conversation was lively and engaging.,It was casual and everyone laughed.,0,"[0, 1, 2, 3, 4]",2
LoMhBo8ATBM_q10_0,LoMhBo8ATBM,What does the man probably feel about the woman?,What is the capital city of New York state? (Note: incorrect answer),Respect.,The man is annoyed with the woman's opinions.,The man is indifferent towards the woman's opinions.,1,"[0, 1, 2, 3, 4]",2
LoMhBo8ATBM_q11_0,LoMhBo8ATBM,"What does the woman feel about the ""speech"" mentioned in the video?",The woman strongly agrees with her own idea about the speech.,"She feels that it was ""dark"" and ""dangerous"".",The woman thinks the speech was too short.,She really liked the speech and fully supports it.,1,"[0, 1, 2, 3, 4]",2
LoMhBo8ATBM_q7_0,LoMhBo8ATBM,What does the woman think about the topic?,She's treating the interview very casually.,She takes the situation very seriously.,She expresses her opinion with conviction.,She thinks the situation is a joke.,1,"[0, 1, 2, 3, 4]",2
LoMhBo8ATBM_q2_0,LoMhBo8ATBM,Why does the woman use her hands while she talks?,She is trying to get him to agree with her using hand gestures.,She just wants to stretch her hands.,She is trying to communicate with aliens using hand gestures.,"She is trying to carry her point across, and that kind of hand motion helps.",3,"[0, 1, 2, 3, 4]",2
LoMhBo8ATBM_q5_0,LoMhBo8ATBM,Why is the woman raising her voice in the beginning?,She's attempting to get her point across.,The woman is trying to get the man's attention.,The man cannot hear her.,The woman is trying to show off her new outfit.,0,"[0, 1, 2, 3, 4]",2
LtxWWUBt7ro_q1_1,LtxWWUBt7ro,How are the people sitting on the larger couch related to the person on the chair?,The people have never met each other before.,The person on the chair is their boss.,They are friends and family.,They are strangers who just met.,2,"[0, 1, 2, 3, 4, 5, 6]",1
LtxWWUBt7ro_q2_6,LtxWWUBt7ro,How does the man in red feel when he looks at the others' boards?,He feels satisfied because he thinks they know him well.,He does not understand why the people on the couch got the answer wrong.,The man in red thinks the others' answers are unreliable.,The man in red is annoyed with the others' answers.,1,"[0, 1, 2, 3, 4, 5, 6]",1
LtxWWUBt7ro_q4_7,LtxWWUBt7ro,What goes on in the women's mind when the man asks her a question?,She realizes that the task will not be as easy as she once thought.,She wonders if she left the stove on at home.,She has absolutely no idea what is going on.,She wonders if she left her phone in the car.,0,"[0, 1, 2, 3, 4, 5, 6]",1
LtxWWUBt7ro_q5_9,LtxWWUBt7ro,What is the type of atmosphere between the three people on the couch (women and two men),The three people have a casual light hearted friendship.,They are joking around with each other.,They are old friends.,There is a funny atmosphere.,3,"[0, 1, 2, 3, 4, 5, 6]",1
LtxWWUBt7ro_q3_3,LtxWWUBt7ro,Why do the man in red and the woman in black hug each other?,They hug each other because they are old friends.,They are friends and are seeking comfort in each other.,The man in red hugs the woman in black because he owes her a favor.,Because they love each other.,3,"[0, 1, 2, 3, 4, 5, 6]",1
M4blAdS6r3Q_q2_7,M4blAdS6r3Q,How do most of the people react to the filament?,They immediately know what they should do with it,They are confused by the concept of filament.,They do not understand how it works,Some of them are impressed by the filament.,2,"[0, 1, 2, 3, 4, 5, 6, 7]",1
M4blAdS6r3Q_q5_10,M4blAdS6r3Q,How does the woman in black feel?,Overwhelmed by the number of buttons on the machine and unsure of what to do,The woman in black looks skeptical about the technology.,Inpatient,The woman in black is amazed by the technology.,2,"[0, 1, 2, 3, 4, 5, 6, 7]",1
M4blAdS6r3Q_q6_2,M4blAdS6r3Q,What does the woman in green think about the object being introduced to her?,She is amazed by it,She thinks it will serve no purpose.,The woman in green is scared of the object.,She is confused by it.,0,"[0, 1, 2, 3, 4, 5, 6, 7]",1
M4blAdS6r3Q_q4_0,M4blAdS6r3Q,What does the woman in the black jacket think about the object being introduced to her?,She is scared by it and wants to know more about it to protect herself against it,She is hesitant to use the object and thinks it's too complicated.,She is confused and uninterested in the object.,She is impressed by it and eager to better acquaint herself with it,3,"[0, 1, 2, 3, 4, 5, 6, 7]",1
M4blAdS6r3Q_q3_3,M4blAdS6r3Q,What does the woman in the dark blue shirt and white cardigan think about the filament that was handed to her?,The woman is unsure about the filament.,She is confused,She is wary of it,The woman is amazed by the filament's color.,1,"[0, 1, 2, 3, 4, 5, 6, 7]",1
M4blAdS6r3Q_q7_0,M4blAdS6r3Q,Why does the man in yellow seem angry?,The man in yellow is frustrated because he forgot his printing preferences.,The man in yellow is happy to learn about 3D printing technology.,He is frustrated with the slow progress of the printer.,He does not think he will know how use the printer.,3,"[0, 1, 2, 3, 4, 5, 6, 7]",1
M4blAdS6r3Q_q1_0,M4blAdS6r3Q,Why does the man in yellow seem confused?,The man in yellow is distracted by the color of the printer.,The man in yellow is distracted by the loud noises around him.,The man in yellow is wondering if the printer can print food.,He does not understand how the printer works.,3,"[0, 1, 2, 3, 4, 5, 6, 7]",1
M4blAdS6r3Q_q8_0,M4blAdS6r3Q,Why is the woman in green excited?,The man in the blue shirt is worried about the cost of the 3D printer.,The woman in green is worried about the environmental impact of 3D printing.,She believes that the printer is very innovative.,She likes the printer.,2,"[0, 1, 2, 3, 4, 5, 6, 7]",1
MBDZbACupsc_q5_3,MBDZbACupsc,How does the reporter report about the situation?,He's very biased in his reporting.,He's agitated and confused,He reports with a lot of uncertainty and hesitation.,He inputs some of his own opinion and analysis of the situation.,3,"[0, 1, 2, 3, 4, 5]",3
MBDZbACupsc_q4_6,MBDZbACupsc,How is the woman reporter acting?,The woman reporter interrupts frequently.,She's motivated and is constantly butting in,"She ""mhm""s to show that she is listening.",The woman reporter is wearing a red dress.,2,"[0, 1, 2, 3, 4, 5]",3
MBDZbACupsc_q1_6,MBDZbACupsc,What are the emotions of the man with glasses?,The man with glasses is clearly frustrated.,He does not seem very happy about the situation but he also does not seem upset about it.,He is happy.,The man with glasses is upset about the situation.,1,"[0, 1, 2, 3, 4, 5]",3
MBDZbACupsc_q3_3,MBDZbACupsc,What is the woman's attitude towards the subject?,She is angry about the situation.,She seems neutral.,The woman appreciates it.,She is worried about the situation.,1,"[0, 1, 2, 3, 4, 5]",3
MBDZbACupsc_q2_3,MBDZbACupsc,Why does he repeat words?,John Kelly emphasizes certain points in his speech.,The man is talking about his favorite food.,To bring more attention and to emphasize certain points.,He believes that he didn't articulate clearly the first time,2,"[0, 1, 2, 3, 4, 5]",3
MHVrwCEWLPI_q3_3,MHVrwCEWLPI,Does the man agree with the woman?,The man is not paying attention to the woman and is instead checking his phone.,The man is talking about a completely different topic.,Yes,"No, he does not speak so that he can refute her when she finishes.",2,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",2
MHVrwCEWLPI_q1_6,MHVrwCEWLPI,Is the woman confident?,She glances down occasionally.,The woman is nervous and unsure about the importance of collaboration.,The woman is wearing a red shirt and the man is wearing a blue tie.,She is confident.,3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",2
MHVrwCEWLPI_q4_6,MHVrwCEWLPI,Is the woman happy?,She seems fine.,The man is excited about his upcoming vacation.,"No, she just states facts most of the time.",The woman is angry about the lack of progress.,0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",2
MHVrwCEWLPI_q2_10,MHVrwCEWLPI,What is the woman feeling?,She is professional.,She is excited about the prospect of working alone.,She is happy in the video.,She becomes a bit anxious.,0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",2
MHVrwCEWLPI_q5_6,MHVrwCEWLPI,Why is the man nodding?,He is agreeing with the woman's outfit.,He is acknowledging that he is listening.,The man is attempting to look interested in the conversation.,He is trying to remember something.,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",2
MdG9Lkk8VWo_q4_8,MdG9Lkk8VWo,Does the man with the purple tie show bias towards one of the two other men?,The man with the purple tie is the CEO of the company.,"No, he does not express his personal beliefs.","Yes, he expresses his personal beliefs and makes it clear that he supports one","Yes, he favors the man with the red tie.",1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56]",1
MdG9Lkk8VWo_q3_6,MdG9Lkk8VWo,How does the first man end his speech?,"By giving a bright, genuine smile",The first man abruptly stops speaking.,He expresses his gratitude.,The first man hands out business cards.,2,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56]",1
